elapsed_seconds,status,shoulder_width_current,shoulder_width_deviation,shoulder_width_status,shoulder_tilt_current,shoulder_tilt_deviation,shoulder_tilt_status,head_drop_ratio_current,head_drop_ratio_deviation,head_drop_ratio_status,forward_head_ratio_current,forward_head_ratio_deviation,forward_head_ratio_status,head_tilt_current,head_tilt_deviation,head_tilt_status
0.00,good,0.3814,0.0069,good,178.6837,43.8002,good,0.4104,0.0070,good,-0.4641,0.0008,good,-179.2586,89.8203,good
0.03,good,0.3805,0.0093,good,178.7284,43.8449,good,0.4095,0.0078,good,-0.4624,0.0025,good,-178.7909,89.3526,good
0.05,good,0.3802,0.0101,good,178.7433,43.8598,good,0.4093,0.0081,good,-0.4618,0.0030,good,-178.6350,89.1967,good
0.08,good,0.3797,0.0115,good,178.7538,43.8703,good,0.4089,0.0085,good,-0.4624,0.0025,good,-178.5548,89.1165,good
0.11,good,0.3793,0.0125,good,178.8048,43.9212,good,0.4092,0.0081,good,-0.4631,0.0018,good,-178.4707,89.0324,good
0.16,good,0.3789,0.0134,good,178.8226,43.9391,good,0.4092,0.0082,good,-0.4636,0.0013,good,-178.5661,89.1278,good
0.19,good,0.3787,0.0141,good,178.8354,43.9519,good,0.4091,0.0082,good,-0.4640,0.0009,good,-178.6343,89.1960,good
0.21,good,0.3784,0.0146,good,178.8616,43.9781,good,0.4092,0.0082,good,-0.4641,0.0008,good,-178.6490,89.2108,good
0.26,good,0.3783,0.0151,good,178.8755,43.9919,good,0.4093,0.0081,good,-0.4640,0.0009,good,-178.6743,89.2360,good
0.29,good,0.3781,0.0155,good,178.8865,44.0030,good,0.4093,0.0080,good,-0.4639,0.0010,good,-178.6944,89.2561,good
0.32,good,0.3781,0.0154,good,178.9121,44.0286,good,0.4094,0.0080,good,-0.4640,0.0009,good,-178.7875,89.3492,good
0.37,good,0.3780,0.0158,good,178.9434,44.0599,good,0.4090,0.0084,good,-0.4641,0.0008,good,-178.8433,89.4050,good
0.40,good,0.3776,0.0169,good,178.9937,44.1102,good,0.4085,0.0089,good,-0.4642,0.0007,good,-178.8599,89.4216,good
0.42,good,0.3775,0.0172,good,179.0246,44.1411,good,0.4080,0.0093,good,-0.4646,0.0003,good,-178.9271,89.4888,good
0.45,good,0.3774,0.0175,good,179.0554,44.1719,good,0.4075,0.0098,good,-0.4650,0.0001,good,-178.9942,89.5560,good
0.48,good,0.3773,0.0175,good,179.0475,44.1640,good,0.4077,0.0096,good,-0.4652,0.0003,good,-179.0490,89.6107,good
0.51,good,0.3773,0.0176,good,179.0361,44.1526,good,0.4075,0.0098,good,-0.4653,0.0004,good,-179.1378,89.6995,good
0.56,good,0.3774,0.0173,good,179.0313,44.1478,good,0.4073,0.0101,good,-0.4652,0.0003,good,-179.1433,89.7050,good
0.59,good,0.3776,0.0169,good,179.0265,44.1430,good,0.4070,0.0103,good,-0.4651,0.0002,good,-179.1488,89.7105,good
0.62,good,0.3776,0.0168,good,179.0047,44.1212,good,0.4067,0.0107,good,-0.4650,0.0002,good,-179.1795,89.7412,good
0.65,good,0.3780,0.0157,good,179.0129,44.1293,good,0.4060,0.0114,good,-0.4649,0.0000,good,-179.1673,89.7290,good
0.68,good,0.3785,0.0146,good,179.0210,44.1375,good,0.4053,0.0121,good,-0.4647,0.0002,good,-179.1550,89.7167,good
0.71,good,0.3788,0.0139,good,179.0062,44.1227,good,0.4046,0.0128,good,-0.4642,0.0007,good,-179.0716,89.6333,good
0.77,good,0.3790,0.0133,good,178.9835,44.0999,good,0.4045,0.0128,good,-0.4637,0.0011,good,-179.0464,89.6081,good
0.80,good,0.3792,0.0127,good,178.9608,44.0773,good,0.4045,0.0129,good,-0.4633,0.0016,good,-179.0211,89.5828,good
0.82,good,0.3793,0.0125,good,178.9461,44.0626,good,0.4047,0.0127,good,-0.4628,0.0020,good,-179.0202,89.5819,good
0.85,good,0.3794,0.0123,good,178.9314,44.0479,good,0.4049,0.0125,good,-0.4624,0.0025,good,-179.0193,89.5810,good
0.88,good,0.3794,0.0122,good,178.9544,44.0708,good,0.4046,0.0127,good,-0.4621,0.0028,good,-179.0394,89.6011,good
0.91,good,0.3795,0.0119,good,178.9784,44.0948,good,0.4044,0.0129,good,-0.4614,0.0034,good,-179.0870,89.6487,good
0.96,good,0.3797,0.0113,good,179.0195,44.1360,good,0.4039,0.0134,good,-0.4608,0.0041,good,-179.0540,89.6157,good
0.99,good,0.3799,0.0108,good,179.0606,44.1771,good,0.4034,0.0140,good,-0.4601,0.0048,good,-179.0210,89.5827,good
